,Date,Team_1,Team_2,Winner,Margin,Ground,Winner 
263,12-03-2018,Sri Lanka,India,India,6 wickets,Colombo (RPS),
264,14-03-2018,Bangladesh,India,India,17 runs,Colombo (RPS),
265,16-03-2018,Sri Lanka,Bangladesh,Bangladesh,2 wickets,Colombo (RPS),
266,18-03-2018,Bangladesh,India,India,4 wickets,Colombo (RPS),
267,01-04-2018,Pakistan,West Indies,Pakistan,143 runs,Karachi,
268,02-04-2018,Pakistan,West Indies,Pakistan,82 runs,Karachi,
269,03-04-2018,Pakistan,West Indies,Pakistan,8 wickets,Karachi,
270,31-05-2018,ICC World XI,West Indies,West Indies,72 runs,London,
271,03-06-2018,Afghanistan,Bangladesh,Afghanistan,45 runs,Dehradun,
272,05-06-2018,Afghanistan,Bangladesh,Afghanistan,6 wickets,Dehradun,
273,07-06-2018,Afghanistan,Bangladesh,Afghanistan,1 run,Dehradun,
274,12-06-2018,Netherlands,Ireland,Netherlands,4 runs,Rotterdam,
275,12-06-2018,Scotland,Pakistan,Pakistan,48 runs,Edinburgh,
276,13-06-2018,Netherlands,Ireland,Netherlands,4 wickets,Rotterdam,
277,13-06-2018,Scotland,Pakistan,Pakistan,84 runs,Edinburgh,
278,16-06-2018,Ireland,Scotland,Ireland,46 runs,Deventer,
279,17-06-2018,Ireland,Scotland,tied,,Deventer,
280,19-06-2018,Netherlands,Scotland,Scotland,7 wickets,Amstelveen,
281,20-06-2018,Netherlands,Scotland,Scotland,115 runs,Amstelveen,
282,27-06-2018,Ireland,India,India,76 runs,Dublin (Malahide),
283,27-06-2018,England,Australia,England,28 runs,Birmingham,
284,29-06-2018,Ireland,India,India,143 runs,Dublin (Malahide),
285,01-07-2018,Zimbabwe,Pakistan,Pakistan,74 runs,Harare,
286,02-07-2018,Australia,Pakistan,Australia,9 wickets,Harare,
287,03-07-2018,Zimbabwe,Australia,Australia,100 runs,Harare,
288,03-07-2018,England,India,India,8 wickets,Manchester,
289,04-07-2018,Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,
290,05-07-2018,Australia,Pakistan,Pakistan,45 runs,Harare,
291,06-07-2018,Zimbabwe,Australia,Australia,5 wickets,Harare,
292,06-07-2018,England,India,England,5 wickets,Cardiff,
293,08-07-2018,Australia,Pakistan,Pakistan,6 wickets,Harare,
294,08-07-2018,England,India,India,7 wickets,Bristol,
295,29-07-2018,Nepal,Netherlands,no result,,Lord's,
296,31-07-2018,West Indies,Bangladesh,West Indies,7 wickets,Basseterre,
297,04-08-2018,Bangladesh,West Indies,Bangladesh,12 runs,Lauderhill,
298,05-08-2018,Bangladesh,West Indies,Bangladesh,19 runs,Lauderhill,
299,14-08-2018,Sri Lanka,South Africa,Sri Lanka,3 wickets,Colombo (RPS),
300,20-08-2018,Ireland,Afghanistan,Afghanistan,16 runs,Bready,
301,22-08-2018,Ireland,Afghanistan,Afghanistan,81 runs,Bready,
302,09-10-2018,South Africa,Zimbabwe,South Africa,34 runs,East London,
303,12-10-2018,South Africa,Zimbabwe,South Africa,6 wickets,Potchefstroom,
304,22-10-2018,U.A.E.,Australia,Australia,7 wickets,Tolerance Oval,
305,24-10-2018,Australia,Pakistan,Pakistan,66 runs,Abu Dhabi,
306,26-10-2018,Australia,Pakistan,Pakistan,11 runs,Dubai (DSC),
307,27-10-2018,Sri Lanka,England,England,30 runs,Colombo (RPS),
308,28-10-2018,Australia,Pakistan,Pakistan,33 runs,Dubai (DSC),
309,31-10-2018,New Zealand,Pakistan,Pakistan,2 runs,Abu Dhabi,
310,02-11-2018,New Zealand,Pakistan,Pakistan,6 wickets,Dubai (DSC),
311,04-11-2018,India,West Indies,India,5 wickets,Kolkata,
312,04-11-2018,New Zealand,Pakistan,Pakistan,47 runs,Dubai (DSC),
313,06-11-2018,India,West Indies,India,71 runs,Lucknow,
314,11-11-2018,India,West Indies,India,6 wickets,Chennai,
315,17-11-2018,Australia,South Africa,South Africa,21 runs,Carrara,
316,21-11-2018,Australia,India,Australia,4 runs,Brisbane,
317,23-11-2018,Australia,India,no result,,Melbourne,
318,25-11-2018,Australia,India,India,6 wickets,Sydney,
319,17-12-2018,Bangladesh,West Indies,West Indies,8 wickets,Sylhet,
320,20-12-2018,Bangladesh,West Indies,Bangladesh,36 runs,Mirpur,
321,22-12-2018,Bangladesh,West Indies,West Indies,50 runs,Mirpur,
322,11-01-2019,New Zealand,Sri Lanka,New Zealand,35 runs,Auckland,
323,20-01-2019,Bahrain,Saudi Arabia,Bahrain,41 runs,Al Amerat,
324,20-01-2019,Kuwait,Maldives,Kuwait,8 wickets,Al Amerat,
325,21-01-2019,Bahrain,Maldives,Bahrain,2 wickets,Al Amerat,
326,21-01-2019,Qatar,Saudi Arabia,Qatar,4 wickets,Al Amerat,
327,22-01-2019,Kuwait,Qatar,tied,,Al Amerat,
328,22-01-2019,Maldives,Saudi Arabia,Saudi Arabia,6 wickets,Al Amerat,
329,23-01-2019,Maldives,Qatar,Qatar,8 wickets,Al Amerat,
330,23-01-2019,Bahrain,Kuwait,Kuwait,7 wickets,Al Amerat,
331,24-01-2019,Kuwait,Saudi Arabia,Saudi Arabia,7 wickets,Al Amerat,
